text,sentiment
Don't bother - go to the store.,negative
"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!",positive
I did not have any problem with this item and would order it again if needed.,positive
You get what you pay for I guess.,negative
"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",positive
im surprised this is a good quality car charger and there's not much reviews about it.,positive
These are fabulous!,positive
"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",negative
I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,positive
Disappointing accessory from a good manufacturer.,negative
"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",negative
Very wind-resistant.,positive
"Obviously they have a terrible customer service, so you get what you pay for.",negative
"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",positive
"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.",negative
Linksys should have some way to exchange a bad phone for a refurb unit or something!,negative
Phone is sturdy as all nokia bar phones are.,positive
Great phone.,positive
"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.",negative
I'm pleased.,positive
Battery is terrible.,negative
I found the product to be easy to set up and use.,positive
The earpiece on this is too large or too heavy...it keeps falling out of my ear.,negative
Utter crap.. Sound quality is TERRIBLE.,negative
"The charger arrived within the promised timeframe, but it did not work.",negative
"No ear loop needed, it's tiny and the sound is great.",positive
"Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.",negative
"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",positive
Talk about USELESS customer service.,negative
"""It felt too light and """"tinny."""".""",negative
This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,negative
I'm happy about this purchase- good quality and low price.,positive
I love the look and feel of Samsung flipphones.,positive
Its well-designed and very sharp -- the blue is a very nice color.,positive
Does everything it should and more.,positive
I could not recommend these more.,negative
Nice Sound.,positive
"Looks good in the picture, but this case was a huge disappointment!!",negative
Much less than the jawbone I was going to replace it with.,positive
Setup went very smoothly.,positive
its extremely slow and takes forever to do anything with it.,negative
"""A must study for anyone interested in the """"worst sins"""" of industrial design.""",negative
The first thing that happened was that the tracking was off.,negative
"It is well made, easy to access the phone and has a handy, detachable belt clip.",positive
Then I had to continue pairing it periodically since it somehow kept dropping.,negative
Can't upload ringtones from a third party.,negative
"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",negative
Truly awful.,negative
"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",positive
The volume for the ringer is REAL good (you have choices how loud).,positive
And none of the tones is acceptable.,negative
camera color balance is AWFUL.,negative
"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.",negative
I love the ringtones because they are so upbeat!,positive
Chinese Forgeries Abound!.,negative
Easy to pair with my Samsung Cell.,positive
The instructions didn't explain that a microphone jack could be used.,negative
i would advise to not purchase this item it never worked very well.,negative
Too bad you have to pay up to $$$ a month for the service!,negative
Works well.,positive
The nokia CA-42 USB cable did not work with my phone.,negative
Clear crisp sound.,positive
"I have to use the smallest earpieces provided, but it stays on pretty well.",positive
"The biggest complaint I have is, the battery drains superfast.",negative
The design might be ergonomic in theory but I could not stand having these in my ear.,negative
Do NOT buy if you want to use the holster.,negative
The phone can also take great pictures and even video clips.,positive
It doesn't make you look cool.,negative
"Because both ears are occupied, background is not distracting at all.",positive
"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",positive
"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",negative
You can't beat the price on these.,positive
"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",positive
lightweight and works well.,positive
So just beware.,negative
I love this cable - it allows me to connect any mini-USB device to my PC.,positive
So anyone near you will hear part of your conversation.,negative
This is cool because most cases are just open there allowing the screen to get all scratched up.,positive
I bought this phone as a replacement for my StarTac and have regretted it since.,negative
Appears to actually outperform the original battery from China that came with my V325i.,positive
Can't store anything but phone numbers to SIM.,negative
"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.",negative
Poor quality.,negative
"""jabra ear gels """"R"""" the best!.""",positive
Not worth it.,negative
The phone crashed completely and now I have to get it replaced.,negative
"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",positive
"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",negative
It was a great phone.,positive
if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,negative
"Good value, works fine - power via USB, car, or wall outlet.",positive
My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,positive
This is simply the BEST bluetooth headset for sound quality!,positive
Think it over when you plan to own this one!This sure is the last MOTO phone for me!,negative
"In the span of an hour,"" I had two people exclaim """"Whoa - is that the new phone on TV?!?""",positive
I have always used corded headsets and the freedom from the wireless is very helpful.,positive
"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",positive
"Other than that, the leather is nice and soft, the fit is very tight, the cut out for the face is a good shape.",positive
It has everything I need and I couldn't ask for more.,positive
After receiving and using the product for just 2 days it broke.,negative
This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,positive
None of the three sizes they sent with the headset would stay in my ears.,negative
T-Mobile has the best customer service anywhere.,positive
Arrived quickly and much less expensive than others being sold.,positive
We have tried 2 units and they both failed within 2 months.. Pros,negative
"Provides good protection and looks classy, too.",positive
Krussel Always good.,positive
"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",positive
The design is very good.4.,positive
I great reception all the time.,positive
I would highly recommend this product.,positive
"Couldn't use the unit with sunglasses, not good in Texas!",negative
It dit not work most of the time with my Nokia 5320.,negative
"Bought mainly for the charger, which broke soon after purchasing.",negative
"If you like a loud buzzing to override all your conversations, then this phone is for you!",negative
Fantastic buy and will get again for whatever my next phone is,positive
"stay away from this store, be careful.",negative
This BlueAnt Supertooth hands-free phone speaker is AWESOME.,positive
Does not fit.,negative
.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,positive
"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",positive
disappointing.,negative
Blue Ant is easy to use.,positive
Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,positive
The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,negative
Then a few days later the a puff of smoke came out of the phone while in use.,negative
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,positive
The nano stated it.My son was dissapointed.,negative
The sound quality is excellent as well.,positive
Its the best headset I have used.,positive
Would not reccommend.,negative
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,positive
Just what I wanted.,positive
This particular model would not work with my Motorola Q smartphone.,negative
wont work right or atleast for me.,negative
"in addition it feels &amp, looks as if the phone is all lightweight cheap plastic.",negative
"""But now that it is """"out of warranty"""" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.""",negative
"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",negative
Great product.,positive
Crisp and Clear.,positive
AFter the first charge kept going dead after 12 minutes.,negative
"VERY cheap plastic, creaks like an old wooden floor.",negative
"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",negative
The reception has been generally good.,positive
"Excellent sound, battery life and inconspicuous to boot!.",positive
Great bluetooth!.,positive
I highly recommend this case.,positive
WORTHWHILE.,positive
This is a great deal.,positive
"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",negative
I am sorry I made this purchase.,negative
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,negative
Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,negative
It was horrible!.,negative
I don't think it would hold it too securly on your belt.,negative
This allows the possibility of double booking for the same date and time after the first.,negative
They work about 2 weeks then break.,negative
It is simple to use and I like it.,positive
"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",positive
I can't use this case because the smell is disgusting.,negative
NOT WHAT I WANTED.,negative
I own 2 of these cases and would order another.,positive
Great Phone.,positive
I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,positive
"The internet access was fine, it the rare instance that it worked.",negative
Perfect for the PS3.,positive
"Five star Plus, plus.",positive
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,positive
$50 Down the drain.,negative
I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,negative
"Good , works fine.",positive
For the price this was a great deal.,positive
"Great price, too!",positive
"If there is a wind, it is completely useless.",negative
Yes it's shiny on front side - and I love it!,positive
Does Not Work.,negative
"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",negative
The reception through this headset is excellent.,positive
2 thumbs up to this seller,positive
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",positive
Improper description.... I had to return it.,negative
#1 It Works - #2 It is Comfortable.,positive
Battery charge-life is quite long.,positive
The Jabra EarGels fit my ears very well.,positive
Battery has no life.,negative
I checked everywhere and there is no feature for it which is really disappointing.,negative
Product is exactly as described.,positive
Gets a signal when other Verizon phones won't.,positive
Doesn't do the job.,negative
I would recommend it.,positive
Plan on ordering from them again and again.,positive
"That being said, for a phone, the camera is very nice, many cool effects to play with, and video is decent as well.",positive
I have been very satisfied with this cell phone from day one.,positive
They keep getting better and better (this is my third one and I've had numerous Palms too).,positive
Awkward to use and unreliable.,negative
The shipping time was also very quick!,positive
Not as good as I had hoped.,negative
Good case!.,positive
Doesn't Work.,negative
Really good product.,positive
Unfortunately it did not work.,negative
All three broke within two months of use.,negative
dont buy it.,negative
"My father has the V265, and the battery is dying.",negative
"However, the ear pads come off easily and after only one week I lost one.",negative
"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",negative
"Horrible, horrible protector.",negative
I don't like this Nokia either.,negative
"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",negative
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,negative
It would take too long to describe how bad my customer service experience has been with Amazon.,negative
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,negative
Terrible.. My car will not accept this cassette.,negative
"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",negative
It's not what it says it is.,negative
Stay Away From the Q!.,negative
Used and dirty.,negative
Very unreliable service from T-mobile !,negative
Not good enough for the price.,negative
I bought two of them and neither will charge.,negative
It looks very nice.,positive
"This is an excellent tool, especially when paired with your phone's auto-answer.",positive
I have read other's reviews here but I haven't had any problem with it.,positive
These products cover up the important light sensor above the ear outlet.,negative
Comfortable in my hand.,positive
Just does not work.,negative
Poor Reliability.,negative
(It works!),positive
"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",negative
"Terrible product, and waste of money!",negative
Last time buying from you.,negative
It was a waste of my money.,negative
So far it has worked like a charm.,positive
"I have only had it for a few weeks, but so far, so good.",positive
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",positive
Would recommend this item.,positive
"It's been my choice headset for years.Great sound, good volume, good noise cancellation.",positive
"Nice case, feels good in your hands.",positive
The item received was Counterfeit.,negative
"Just really good.. So far, probably the best BT headset I have ever had.",positive
Works fine.,positive
I received my headset in good time and was happy with it.,positive
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,positive
My sister has one also and she loves it.,positive
Good Quality.,positive
This is by far the worst purchase I've made on Amazon.,negative
Excellent dual-purpose headset.,positive
Excellent!.,positive
Does not work for listening to music with the cingular 8125.,negative
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",positive
"The bottowm line...another worthless, cheap gimmick from Sprint.",negative
Having trouble with volume.,negative
The only good thing was that it fits comfortably on small ears.,positive
WARNING - DO NOT BUY!!.,negative
"I am pairing this with my iphone, and I could not be happier with it so far.",positive
"When it opens, the battery connection is broken and the device is turned off.",negative
"I didn't want the clip going over the top of my ear, causing discomfort.",negative
Best headset ever!!!.,positive
Don't trust their website and don't expect any helpful support.,negative
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,positive
The speaker is of low quality so as making the ring tones sound very cheap.,negative
"Fits comfortably, came with three sizes of earbud tips.",positive
Excellent product for the price.,positive
Bad Reception.,negative
This product is very High quality Chinese CRAP!!!!!!,negative
It was quite comfortable in the ear.,positive
Great phone.,positive
Don't buy this product - It fails!.,negative
Everything about this product is wrong.First,negative
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,positive
"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",negative
Terrible phone holder.,negative
The cutouts and buttons are placed perfectly.,positive
I love being able to use one headset for both by land-line and cell.,positive
Problem is that the ear loops are made of weak material and break easily.,negative
Not nearly as good looking as the AMAZON picture makes it look.,negative
"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",positive
How stupid is that?,negative
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",positive
Seller shipped quickly and much cheaper than the competitors.,positive
"Good show, Samsung.",positive
So I bought about 10 of these and saved alot of money.,positive
It always cuts out and makes a beep beep beep sound then says signal failed.,negative
Couldn't figure it out,negative
"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",negative
So I had to take the battery out of the phone put it all back together and then restart it.,negative
"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",negative
Leopard Print is wonderfully wild!.,positive
Works for me.,positive
"Saggy, floppy piece of junk.",negative
much better than the hard plastic cases.,positive
It also had a new problem.,negative
Happy so far!.,positive
cool phone.,positive
Works good.,positive
Motorola finally got the voice quality of a bluetooth headset right.,positive
It looses connection to the phone even when it is within a couple feet between the two.,negative
"but it is great, i would really recommend it",positive
Makes it easier to keep up with my bluetooth when I'm not wearing it.,negative
As I said above....PRETTY USELESS!,negative
Never got it!!!!!,negative
This pair of headphones is the worst that I have ever had sound-wise.,negative
[...] down the drain because of a weak snap!,negative
Does not charge the Cingular (ATT) 8525 phone.,negative
"""You get extra minutes so that you can carry out the call and not get cut off.""""""",positive
"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",negative
I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,negative
The headset fulfills my requirements so I am happy with my purchase.,positive
Logitech Bluetooth Headset is a 10!.,positive
"I like the fact that it rests lightly against your ear, rather than inside.",positive
A lot of websites have been rating this a very good phone and so do I.,positive
I have tried these cables with my computer and my iPod and it works just fine.,positive
"The mic there is a joke, and the volume is quite low.",negative
I'm returning them.,negative
I does not maintain a connection with the computer while it is on my lap.,negative
It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,positive
I have had mine for about a year and this Christmas I bought some for the rest of the family.,positive
"Otherwise, easy to install and use, clear sound.",positive
nice leather.,positive
I had to purchase a different case.,negative
It is a joy to use.,positive
Very much disappointed with this company.,negative
Very satisifed with that.,positive
It didn't charge for me.,negative
This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,positive
Buttons are too small.,negative
Just reading on the specs alone makes you say WOW.,positive
Love it.. Great armband.,positive
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,positive
"However, the keypads are so tinny that I sometimes reach the wrong buttons.",negative
I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,positive
I was very impressed with the price of the cases.,positive
Also makes it easier to hold on to.,positive
"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",positive
It's pretty easy.,positive
I cannot make calls at certain places.,negative
"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",negative
Beautiful styling though.,positive
This company charge me a restocking fee and still not given me my refund back.,negative
I'm trying to return it for a refund.,negative
I plugged it in only to find out not a darn thing worked.,negative
Excellent product.,positive
Earbud piece breaks easily.,negative
Lousy product.,negative
This phone tries very hard to do everything but fails at it's very ability to be a phone.,negative
It is the best charger I have seen on the market yet.,positive
SWEETEST PHONE!!!,positive
":-)Oh, the charger seems to work fine.",positive
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,positive
Not enough volume.,negative
Echo Problem....Very unsatisfactory,negative
you could only take 2 videos at a time and the quality was very poor.,negative
don't waste your money.,negative
I am going to have to be the first to negatively review this product.,negative
Adapter does not provide enough charging current.,negative
"There was so much hype over this phone that I assumed it was the best, my mistake.",negative
You also cannot take pictures with it in the case because the lense is covered.,negative
Phone falls out easily.,negative
"It didn't work, people can not hear me when I talk.",negative
The text messaging feature is really tricky to use.,negative
I'm really disappointed all I have now is a charger that doesn't work.,negative
Painful on the ear.,negative
Lasted one day and then blew up.,negative
disappointed.,negative
Kind of flops around.,negative
The screen does get smudged easily because it touches your ear and face.,negative
What a piece of junk.. I lose more calls on this phone.,negative
Item Does Not Match Picture.,negative
The only thing that disappoint me is the infra red port (irda).,negative
"You can not answer calls with the unit, never worked once!",negative
Wow... Loved this place.,positive
Crust is not good.,negative
Not tasty and the texture was just nasty.,negative
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,positive
The selection on the menu was great and so were the prices.,positive
Now I am getting angry and I want my damn pho.,negative
Honeslty it didn't taste THAT fresh.),negative
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,negative
The fries were great too.,positive
A great touch.,positive
Service was very prompt.,positive
Would not go back.,negative
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,negative
"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!",positive
I was disgusted because I was pretty sure that was human hair.,negative
I was shocked because no signs indicate cash only.,negative
Highly recommended.,positive
Waitress was a little slow in service.,negative
"This place is not worth your time, let alone Vegas.",negative
did not like at all.,negative
The Burrittos Blah!,negative
"The food, amazing.",positive
Service is also cute.,positive
I could care less... The interior is just beautiful.,positive
So they performed.,positive
That's right....the red velvet cake.....ohhh this stuff is so good.,positive
#NAME?,negative
"This hole in the wall has great Mexican street tacos, and friendly staff.",positive
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",negative
The worst was the salmon sashimi.,negative
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",positive
This was like the final blow!,negative
I found this place by accident and I could not be happier.,positive
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",negative
"Overall, I like this place a lot.",positive
The only redeeming quality of the restaurant was that it was very inexpensive.,positive
Ample portions and good prices.,positive
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",negative
My first visit to Hiro was a delight!,positive
Service sucks.,negative
The shrimp tender and moist.,positive
There is not a deal good enough that would drag me into that establishment again.,negative
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,negative
"On a positive note, our server was very attentive and provided great service.",positive
"Frozen pucks of disgust, with some of the worst people behind the register.",negative
The only thing I did like was the prime rib and dessert section.,positive
It's too bad the food is so damn generic.,negative
"The burger is good beef, cooked just right.",positive
If you want a sandwich just go to any Firehouse!!!!!,positive
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",positive
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,positive
He came running after us when he realized my husband had left his sunglasses on the table.,positive
Their chow mein is so good!,positive
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",negative
The portion was huge!,positive
"Loved it...friendly servers, great food, wonderful and imaginative menu.",positive
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,negative
Not much seafood and like 5 strings of pasta at the bottom.,negative
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",positive
"The ripped banana was not only ripped, but petrified and tasteless.",negative
At least think to refill my water before I struggle to wave you over for 10 minutes.,negative
This place receives stars for their APPETIZERS!!!,positive
The cocktails are all handmade and delicious.,positive
We'd definitely go back here again.,positive
We are so glad we found this place.,positive
"Great food and service, huge portions and they give a military discount.",positive
Always a great time at Dos Gringos!,positive
Update.....went back for a second time and it was still just as amazing,positive
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,negative
A great way to finish a great.,positive
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",positive
"#NAME?, really good rice, all the time.",positive
The service was meh.,negative
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",negative
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",negative
The scallop dish is quite appalling for value as well.,negative
2 times - Very Bad Customer Service !,negative
The sweet potato fries were very good and seasoned well.,positive
Today is the second time I've been to their lunch buffet and it was pretty good.,positive
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,negative
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,negative
walked in and the place smelled like an old grease trap and only 2 others there eating.,negative
The turkey and roast beef were bland.,negative
This place has it!,positive
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,negative
I love the Pho and the spring rolls oh so yummy you have to try.,positive
The poor batter to meat ratio made the chicken tenders very unsatisfying.,negative
All I have to say is the food was amazing!!!,positive
Omelets are to die for!,positive
Everything was fresh and delicious!,positive
"In summary, this was a largely disappointing dining experience.",negative
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",positive
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",negative
Best breakfast buffet!!!,positive
say bye bye to your tip lady!,negative
We'll never go again.,negative
Will be back again!,positive
Food arrived quickly!,positive
It was not good.,negative
"On the up side, their cafe serves really good food.",positive
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",positive
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",positive
"Best Buffet in town, for the price you cannot beat it.",positive
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",positive
This is one of the better buffets that I have been to.,positive
So we went to Tigerlilly and had a fantastic afternoon!,positive
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",positive
The ambience is wonderful and there is music playing.,positive
Will go back next trip out.,positive
Sooooo good!!,positive
"REAL sushi lovers, let's be honest - Yama is not that good.",negative
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",negative
This is a really fantastic Thai restaurant which is definitely worth a visit.,positive
"Nice, spicy and tender.",positive
Good prices.,positive
Check it out.,positive
It was pretty gross!,negative
I've had better atmosphere.,negative
Kind of hard to mess up a steak but they did.,negative
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",negative
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,negative
"Worst service to boot, but that is the least of their worries.",negative
Service was fine and the waitress was friendly.,positive
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",positive
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",positive
"Host staff were, for lack of a better word, BITCHES!",negative
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,negative
"Phenomenal food, service and ambiance.",positive
I wouldn't return.,negative
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",positive
This place is way too overpriced for mediocre food.,negative
Penne vodka excellent!,positive
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",positive
The management is rude.,negative
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",positive
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",positive
I had a seriously solid breakfast here.,positive
This is one of the best bars with food in Vegas.,positive
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",negative
My drink was never empty and he made some really great menu suggestions.,positive
Don't do it!!!!,negative
The waiter wasn't helpful or friendly and rarely checked on us.,negative
My husband and I ate lunch here and were very disappointed with the food and service.,negative
And the red curry had so much bamboo shoots and wasn't very tasty to me.,negative
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,positive
The bathrooms are clean and the place itself is well decorated.,positive
"The menu is always changing, food quality is going down & service is extremely slow.",negative
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",negative
I give it 2 thumbs down,negative
We watched our waiter pay a lot more attention to other tables and ignore us.,negative
My fianc̩ and I came in the middle of the day and we were greeted and seated right away.,positive
This is a great restaurant at the Mandalay Bay.,positive
We waited for forty five minutes in vain.,negative
Crostini that came with the salad was stale.,negative
Some highlights : Great quality nigiri here!,positive
the staff is friendly and the joint is always clean.,positive
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,positive
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,positive
this place is good.,positive
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",negative
I came back today since they relocated and still not impressed.,negative
I was seated immediately.,positive
"Their menu is diverse, and reasonably priced.",positive
Avoid at all cost!,negative
Restaurant is always full but never a wait.,positive
DELICIOUS!!,positive
This place is hands-down one of the best places to eat in the Phoenix metro area.,positive
So don't go there if you are looking for good food...,negative
I've never been treated so bad.,negative
Bacon is hella salty.,positive
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",negative
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",positive
The waitresses are very friendly.,positive
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",positive
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,positive
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",negative
The service here leaves a lot to be desired.,negative
"The atmosphere is modern and hip, while maintaining a touch of coziness.",positive
"Not a weekly haunt, but definitely a place to come back to every once in a while.",positive
We literally sat there for 20 minutes with no one asking to take our order.,negative
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",negative
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,negative
I dressed up to be treated so rudely!,negative
It was probably dirt.,negative
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",positive
I ordered the Lemon raspberry ice cocktail which was also incredible.,positive
"The food sucked, which we expected but it sucked more than we could have imagined.",negative
Interesting decor.,positive
What I really like there is the crepe station.,positive
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",positive
you can watch them preparing the delicious food!),positive
Both of the egg rolls were fantastic.,positive
"When my order arrived, one of the gyros was missing.",negative
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",positive
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,negative
The best place to go for a tasty bowl of Pho!,positive
The live music on Fridays totally blows.,negative
I've never been more insulted or felt disrespected.,negative
Very friendly staff.,positive
It is worth the drive.,positive
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",positive
Food was great and so was the serivce!,positive
The warm beer didn't help.,negative
Great brunch spot.,positive
Service is friendly and inviting.,positive
Very good lunch spot.,positive
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,negative
The WORST EXPERIENCE EVER.,negative
Must have been an off night at this place.,negative
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",positive
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",negative
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",negative
My friend loved the salmon tartar.,positive
Won't go back.,negative
Extremely Tasty!,positive
Waitress was good though!,positive
Soggy and not good.,negative
The Jamaican mojitos are delicious.,positive
Which are small and not worth the price.,negative
#NAME?,positive
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",negative
The service was a bit lacking.,negative
